Goalie,Team,Season,GP,xGA,GA,GSAx,WAR,SA,xSV%,SV%,dSV%,TOI,FA,xFSV%,FSV%,dFSV%,GAR
Elvis Merzlikins,CBJ,21-22,59,179.52,178,1.52,3.45,1921,90.66,90.73,0.08,3274.97,2583,93.05,93.11,0.06,18.22
Tristan Jarry,PIT,21-22,58,149.67,137,12.67,5.03,1708,91.24,91.98,0.74,3382.45,2278,93.43,93.99,0.56,26.59
Darcy Kuemper,COL,21-22,57,163.01,138,25.01,7.6,1755,90.71,92.14,1.43,3212.25,2361,93.1,94.16,1.06,40.18
John Gibson,ANA,21-22,56,163.96,172,-8.04,1.36,1787,90.82,90.37,-0.45,3209.02,2488,93.41,93.09,-0.32,7.21
Philipp Grubauer,SEA,21-22,55,139.2,164,-24.8,-2.24,1479,90.59,88.91,-1.68,3085.15,2059,93.24,92.03,-1.2,-11.85
Sergei Bobrovsky,FLA,21-22,54,153.54,137,16.54,5.83,1566,90.2,91.25,1.06,3053.27,2045,92.49,93.3,0.81,30.82
Igor Shesterkin,NYR,21-22,53,149.62,106,43.62,10.89,1621,90.77,93.46,2.69,3027.62,2220,93.26,95.23,1.97,57.54
Frederik Andersen,CAR,21-22,52,140.93,111,29.93,8.14,1429,90.14,92.23,2.09,3024.5,1989,92.91,94.42,1.5,43.04
Karel Vejmelka,ARI,21-22,52,154.98,170,-15.02,-0.12,1669,90.71,89.81,-0.9,2753.0,2264,93.15,92.49,-0.66,-0.61
Ilya Sorokin,NYI,21-22,52,144.23,123,21.23,6.56,1640,91.21,92.5,1.29,3033.72,2253,93.6,94.54,0.94,34.65
Jack Campbell,TOR,21-22,49,123.12,123,0.12,2.19,1431,91.4,91.4,0.01,2778.22,1916,93.57,93.58,0.01,11.58
Cam Talbot,MIN,21-22,49,127.58,132,-4.42,1.41,1488,91.43,91.13,-0.3,2835.0,1995,93.61,93.38,-0.22,7.44
James Reimer,S.J,21-22,48,137.21,129,8.21,3.97,1449,90.53,91.1,0.57,2647.97,2051,93.31,93.71,0.4,20.98
Jake Oettinger,DAL,21-22,48,119.31,114,5.31,3.1,1330,91.03,91.43,0.4,2655.32,1864,93.6,93.88,0.28,16.41
Anton Forsberg,OTT,21-22,46,141.52,121,20.52,6.37,1457,90.29,91.7,1.41,2544.2,1955,92.76,93.81,1.05,33.68
Jonathan Quick,L.A,21-22,46,127.96,116,11.96,4.52,1285,90.04,90.97,0.93,2656.55,1761,92.73,93.41,0.68,23.87
Marc-Andre Fleury,CHI,21-22,45,119.44,129,-9.56,0.29,1397,91.45,90.77,-0.68,2605.78,1873,93.62,93.11,-0.51,1.55
Marc-Andre Fleury,MIN,21-22,11,30.94,30,0.94,0.72,334,90.74,91.02,0.28,650.52,469,93.4,93.6,0.2,3.82
Carter Hart,PHI,21-22,45,141.0,137,4.0,3.24,1441,90.22,90.49,0.28,2581.85,1935,92.71,92.92,0.21,17.12
Mikko Koskinen,EDM,21-22,45,136.37,136,0.37,2.47,1397,90.24,90.26,0.03,2598.43,1913,92.87,92.89,0.02,13.05
Robin Lehner,VGK,21-22,44,131.54,120,11.54,4.5,1289,89.8,90.69,0.9,2522.33,1716,92.33,93.01,0.67,23.78
Ilya Samsonov,WSH,21-22,43,109.21,116,-6.79,0.64,1122,90.27,89.66,-0.61,2267.73,1573,93.06,92.63,-0.43,3.37
Vitek Vanecek,WSH,21-22,42,102.36,103,-0.64,1.68,1118,90.84,90.79,-0.06,2301.98,1554,93.41,93.37,-0.04,8.88
Jeremy Swayman,BOS,21-22,41,98.89,96,2.89,2.29,1110,91.09,91.35,0.26,2352.15,1551,93.62,93.81,0.19,12.09
Linus Ullmark,BOS,21-22,41,98.63,95,3.63,2.42,1130,91.27,91.59,0.32,2302.4,1537,93.58,93.82,0.24,12.81
Ville Husso,STL,21-22,40,115.91,100,15.91,5.05,1236,90.62,91.91,1.29,2317.23,1727,93.29,94.21,0.92,26.69
Sam Montembeault,MTL,21-22,38,111.38,121,-9.62,0.14,1124,90.09,89.23,-0.86,1932.4,1507,92.61,91.97,-0.64,0.74
Jordan Binnington,STL,21-22,37,103.31,112,-8.69,0.17,1134,90.89,90.12,-0.77,2121.33,1577,93.45,92.9,-0.55,0.92
Martin Jones,PHI,21-22,35,108.81,114,-5.19,0.93,1141,90.46,90.01,-0.45,1982.6,1558,93.02,92.68,-0.33,4.94
Jake Allen,MTL,21-22,35,111.49,107,4.49,2.81,1123,90.07,90.47,0.4,1937.12,1502,92.58,92.88,0.3,14.86
Alexandar Georgiev,NYR,21-22,33,80.63,85,-4.37,0.59,832,90.31,89.78,-0.53,1726.27,1190,93.22,92.86,-0.37,3.13
Cal Petersen,L.A,21-22,33,87.14,92,-4.86,0.61,878,90.07,89.52,-0.55,1917.73,1239,92.97,92.57,-0.39,3.25
Spencer Knight,FLA,21-22,32,82.13,81,1.13,1.66,876,90.62,90.75,0.13,1710.23,1166,92.96,93.05,0.1,8.77
Kevin Lankinen,CHI,21-22,32,81.83,106,-24.17,-3.13,973,91.59,89.11,-2.48,1806.2,1300,93.71,91.85,-1.86,-16.56
Semyon Varlamov,NYI,21-22,31,88.28,87,1.28,1.8,979,90.98,91.11,0.13,1773.23,1310,93.26,93.36,0.1,9.49
Craig Anderson,BUF,21-22,31,94.04,96,-1.96,1.28,944,90.04,89.83,-0.21,1843.38,1298,92.76,92.6,-0.15,6.78
Thomas Greiss,DET,21-22,31,76.82,92,-15.18,-1.52,841,90.87,89.06,-1.8,1492.9,1174,93.46,92.16,-1.29,-8.03
Mike Smith,EDM,21-22,28,82.57,74,8.57,3.08,874,90.55,91.53,0.98,1561.67,1152,92.83,93.58,0.74,16.25
Antti Raanta,CAR,21-22,28,68.62,63,5.62,2.27,706,90.28,91.08,0.8,1499.17,973,92.95,93.53,0.58,12.0
Anthony Stolarz,ANA,21-22,28,70.82,66,4.82,2.16,808,91.23,91.83,0.6,1490.42,1110,93.62,94.05,0.43,11.41
Dustin Tokarski,BUF,21-22,28,78.62,88,-9.38,-0.39,860,90.86,89.77,-1.09,1598.52,1131,93.05,92.22,-0.83,-2.06
Chris Driedger,SEA,21-22,26,67.27,69,-1.73,0.86,695,90.32,90.07,-0.25,1408.42,970,93.07,92.89,-0.18,4.52
Scott Wedgewood,ARI,21-22,26,83.39,78,5.39,2.49,877,90.49,91.11,0.61,1461.48,1183,92.95,93.41,0.46,13.15
Scott Wedgewood,DAL,21-22,8,23.75,22,1.75,0.75,264,91.0,91.67,0.66,448.47,356,93.33,93.82,0.49,3.96
Scott Wedgewood,N.J,21-22,3,8.14,9,-0.86,-0.02,75,89.15,88.0,-1.15,169.2,109,92.54,91.74,-0.79,-0.11
Casey Desmith,PIT,21-22,26,67.0,66,1.0,1.37,769,91.29,91.42,0.13,1409.27,1026,93.47,93.57,0.1,7.23
Kaapo Kahkonen,MIN,21-22,25,68.81,66,2.81,1.74,734,90.63,91.01,0.38,1366.48,1012,93.2,93.48,0.28,9.21
Kaapo Kahkonen,S.J,21-22,11,33.27,27,6.27,1.77,322,89.67,91.61,1.95,564.2,455,92.69,94.07,1.38,9.36
Nico Daws,N.J,21-22,25,59.08,66,-6.92,-0.27,617,90.43,89.3,-1.12,1267.35,883,93.31,92.53,-0.78,-1.43
Mackenzie Blackwood,N.J,21-22,25,68.71,79,-10.29,-0.74,731,90.6,89.19,-1.41,1386.07,1012,93.21,92.19,-1.02,-3.9
Adin Hill,S.J,21-22,25,57.58,61,-3.42,0.37,648,91.11,90.59,-0.53,1368.55,903,93.62,93.24,-0.38,1.94
Laurent Brossoit,VGK,21-22,24,62.59,62,0.59,1.21,588,89.36,89.46,0.1,1270.53,841,92.56,92.63,0.07,6.41
Braden Holtby,DAL,21-22,24,62.54,60,2.54,1.58,699,91.05,91.42,0.36,1308.72,965,93.52,93.78,0.26,8.36
Dan Vladar,CGY,21-22,23,54.29,56,-1.71,0.63,608,91.07,90.79,-0.28,1233.38,870,93.76,93.56,-0.2,3.34
Joonas Korpisalo,CBJ,21-22,22,62.84,78,-15.16,-1.76,634,90.09,87.7,-2.39,1116.07,834,92.47,90.65,-1.82,-9.32
Pavel Francouz,COL,21-22,21,54.0,51,3.0,1.52,608,91.12,91.61,0.49,1178.68,803,93.28,93.65,0.37,8.02
Petr Mrazek,TOR,21-22,20,47.4,58,-10.6,-1.17,520,90.88,88.85,-2.04,1026.13,686,93.09,91.55,-1.55,-6.19
Matt Murray,OTT,21-22,20,64.51,60,4.51,1.99,640,89.92,90.62,0.71,1177.85,884,92.7,93.21,0.51,10.51
Brian Elliott,T.B,21-22,19,44.96,43,1.96,1.16,489,90.8,91.21,0.4,1055.15,693,93.51,93.8,0.28,6.15
Logan Thompson,VGK,21-22,19,52.06,49,3.06,1.5,569,90.85,91.39,0.54,1085.38,775,93.28,93.68,0.4,7.91
Jon Gillies,N.J,21-22,19,45.69,59,-13.31,-1.71,510,91.04,88.43,-2.61,938.98,683,93.31,91.36,-1.95,-9.06
Jon Gillies,STL,21-22,1,2.62,2,0.62,0.16,38,93.1,94.74,1.64,63.77,47,94.42,95.74,1.32,0.87
Filip Gustavsson,OTT,21-22,18,57.23,62,-4.77,0.1,574,90.03,89.2,-0.83,1039.2,786,92.72,92.11,-0.61,0.55
Eric Comrie,WPG,21-22,18,52.68,41,11.68,3.14,520,89.87,92.12,2.25,951.42,708,92.56,94.21,1.65,16.58
Jaroslav Halak,VAN,21-22,17,38.97,39,-0.03,0.68,399,90.23,90.23,-0.01,791.6,546,92.86,92.86,-0.01,3.59
David Rittich,NSH,21-22,17,42.65,49,-6.35,-0.45,432,90.13,88.66,-1.47,811.82,603,92.93,91.87,-1.05,-2.38
Erik Kallgren,TOR,21-22,14,34.92,42,-7.08,-0.72,370,90.56,88.65,-1.91,738.42,518,93.26,91.89,-1.37,-3.83
Stuart Skinner,EDM,21-22,13,33.86,32,1.86,0.95,367,90.77,91.28,0.51,731.28,476,92.89,93.28,0.39,5.01
Cayden Primeau,MTL,21-22,12,28.71,40,-11.29,-1.63,302,90.49,86.75,-3.74,518.03,409,92.98,90.22,-2.76,-8.61
Aaron Dell,BUF,21-22,12,31.95,38,-6.05,-0.58,355,91.0,89.3,-1.7,561.02,464,93.11,91.81,-1.3,-3.08
Jonathan Bernier,N.J,21-22,10,25.18,26,-0.82,0.29,264,90.46,90.15,-0.31,504.62,362,93.04,92.82,-0.23,1.53
Ukko-Pekka Luukkonen,BUF,21-22,9,21.31,23,-1.69,0.06,261,91.83,91.19,-0.65,501.28,375,94.32,93.87,-0.45,0.29
Anton Khudobin,DAL,21-22,9,21.01,28,-6.99,-0.95,232,90.94,87.93,-3.01,458.27,313,93.29,91.05,-2.23,-5.03
Jonas Johansson,COL,21-22,9,16.15,24,-7.85,-1.2,201,91.97,88.06,-3.91,369.35,261,93.81,90.8,-3.01,-6.35
Jonas Johansson,FLA,21-22,2,7.17,15,-7.83,-1.36,64,88.8,76.56,-12.23,116.22,80,91.04,81.25,-9.79,-7.16
Collin Delia,CHI,21-22,8,18.25,22,-3.75,-0.39,218,91.63,89.91,-1.72,342.63,291,93.73,92.44,-1.29,-2.05
Andrew Hammond,N.J,21-22,7,20.67,30,-9.33,-1.4,214,90.34,85.98,-4.36,381.53,291,92.9,89.69,-3.21,-7.41
Andrew Hammond,MTL,21-22,4,11.24,8,3.24,0.81,100,88.76,92.0,3.24,197.87,146,92.3,94.52,2.22,4.29
Zach Sawchenko,S.J,21-22,7,14.88,15,-0.12,0.24,151,90.15,90.07,-0.08,268.63,212,92.98,92.92,-0.06,1.26
Spencer Martin,VAN,21-22,6,22.32,11,11.32,2.53,218,89.76,94.95,5.19,377.98,302,92.61,96.36,3.75,13.4
Harri Sateri,ARI,21-22,6,18.92,21,-2.08,-0.06,157,87.95,86.62,-1.33,296.67,246,92.31,91.46,-0.85,-0.32
J-F Berube,CBJ,21-22,6,19.02,21,-1.98,-0.04,209,90.9,89.95,-0.95,300.6,260,92.68,91.92,-0.76,-0.21
Akira Schmid,N.J,21-22,6,9.41,19,-9.59,-1.65,114,91.75,83.33,-8.41,235.87,151,93.77,87.42,-6.35,-8.72
Carey Price,MTL,21-22,5,15.91,18,-2.09,-0.12,148,89.25,87.84,-1.41,297.13,200,92.05,91.0,-1.05,-0.61
Charlie Lindgren,STL,21-22,5,10.47,5,5.47,1.22,118,91.13,95.76,4.63,241.33,166,93.7,96.99,3.29,6.44
Joey Daccord,SEA,21-22,5,16.48,20,-3.52,-0.38,139,88.15,85.61,-2.53,292.8,184,91.04,89.13,-1.91,-1.99
Felix Sandstrom,PHI,21-22,5,20.39,16,4.39,1.19,177,88.48,90.96,2.48,296.07,247,91.75,93.52,1.78,6.28
Malcolm Subban,BUF,21-22,4,11.16,17,-5.84,-0.91,132,91.54,87.12,-4.42,209.7,169,93.39,89.94,-3.45,-4.8
Zach Fucale,WSH,21-22,4,6.71,5,1.71,0.44,66,89.84,92.42,2.59,168.12,102,93.42,95.1,1.67,2.33
Tuukka Rask,BOS,21-22,4,8.71,14,-5.29,-0.85,90,90.32,84.44,-5.88,190.97,124,92.97,88.71,-4.26,-4.48
Lukas Dostal,ANA,21-22,4,8.86,10,-1.14,-0.06,108,91.8,90.74,-1.06,201.45,146,93.93,93.15,-0.78,-0.32
Joseph Woll,TOR,21-22,4,11.1,11,0.1,0.21,123,90.97,91.06,0.08,239.7,176,93.69,93.75,0.06,1.14
Calvin Petersen,L.A,21-22,4,10.58,13,-2.42,-0.27,123,91.4,89.43,-1.97,237.13,161,93.43,91.93,-1.5,-1.43
Daniil Tarasov,CBJ,21-22,4,10.01,7,3.01,0.75,111,90.98,93.69,2.71,174.6,144,93.05,95.14,2.09,3.94
Ivan Prosvetov,ARI,21-22,3,9.92,13,-3.08,-0.41,104,90.47,87.5,-2.97,184.62,142,93.02,90.85,-2.17,-2.16
Connor Ingram,NSH,21-22,3,8.95,11,-2.05,-0.23,91,90.17,87.91,-2.26,173.7,121,92.61,90.91,-1.7,-1.22
Calvin Pickard,DET,21-22,3,6.08,9,-2.92,-0.45,72,91.55,87.5,-4.05,125.58,91,93.32,90.11,-3.21,-2.35
Arvid Soderblom,CHI,21-22,3,7.31,13,-5.69,-0.95,94,92.23,86.17,-6.06,155.82,127,94.25,89.76,-4.48,-5.01
Carter Hutton,ARI,21-22,3,5.04,15,-9.96,-1.79,58,91.3,74.14,-17.16,115.97,77,93.45,80.52,-12.93,-9.49
Pyotr Kochetkov,CAR,21-22,3,4.93,5,-0.07,0.07,58,91.5,91.38,-0.12,139.47,73,93.24,93.15,-0.09,0.39
Justus Annunen,COL,21-22,2,4.24,7,-2.76,-0.45,51,91.68,86.27,-5.41,96.77,66,93.57,89.39,-4.18,-2.36
Pheonix Copley,WSH,21-22,2,3.13,5,-1.87,-0.3,41,92.37,87.8,-4.57,96.58,68,95.4,92.65,-2.76,-1.58
Joel Hofer,STL,21-22,2,4.97,6,-1.03,-0.11,50,90.05,88.0,-2.05,116.45,78,93.62,92.31,-1.32,-0.56
Josef Korenar,ARI,21-22,2,3.48,3,0.48,0.15,35,90.07,91.43,1.36,70.3,50,93.05,94.0,0.95,0.8
Alex Lyon,CAR,21-22,2,7.82,6,1.82,0.48,65,87.97,90.77,2.79,119.97,94,91.68,93.62,1.93,2.54
Jack Lafontaine,CAR,21-22,2,3.49,7,-3.51,-0.6,38,90.81,81.58,-9.23,59.9,47,92.57,85.11,-7.46,-3.18
Louis Domingue,PIT,21-22,2,7.96,4,3.96,0.89,83,90.41,95.18,4.77,118.75,99,91.96,95.96,4.0,4.7
Michael Houser,BUF,21-22,2,5.74,4,1.74,0.43,75,92.35,94.67,2.31,119.52,105,94.54,96.19,1.65,2.27
Maxime Lagace,T.B,21-22,2,5.73,10,-4.27,-0.71,58,90.12,82.76,-7.36,97.9,68,91.58,85.29,-6.28,-3.74
Mads Sogaard,OTT,21-22,2,5.55,6,-0.45,0.01,54,89.72,88.89,-0.83,116.12,72,92.29,91.67,-0.62,0.07
Michael Hutchinson,TOR,21-22,2,4.75,6,-1.25,-0.15,42,88.69,85.71,-2.97,78.68,52,90.86,88.46,-2.4,-0.81
Garret Sparks,L.A,21-22,2,4.2,3,1.2,0.3,47,91.06,93.62,2.56,95.42,63,93.33,95.24,1.91,1.59
Adam Huska,NYR,21-22,1,3.26,7,-3.74,-0.65,39,91.65,82.05,-9.6,59.1,50,93.49,86.0,-7.49,-3.44
Magnus Hellberg,DET,21-22,1,2.37,3,-0.63,-0.08,23,89.71,86.96,-2.76,57.82,31,92.37,90.32,-2.05,-0.41
Thomas Hodges,ANA,21-22,1,0.31,1,-0.69,-0.12,3,89.63,66.67,-22.97,19.13,4,92.23,75.0,-17.23,-0.66
Michael Mcniven,MTL,21-22,1,1.47,3,-1.53,-0.26,7,79.04,57.14,-21.9,20.0,12,87.78,75.0,-12.78,-1.4
Keith Kinkaid,NYR,21-22,1,2.31,2,0.31,0.1,31,92.54,93.55,1.01,58.75,42,94.49,95.24,0.75,0.53
Cory Schneider,NYI,21-22,1,4.04,3,1.04,0.27,30,86.54,90.0,3.46,57.02,51,92.08,94.12,2.04,1.41
Alex Stalock,S.J,21-22,1,2.71,6,-3.29,-0.58,28,90.33,78.57,-11.76,46.12,40,93.23,85.0,-8.23,-3.04
Michael Dipietro,VAN,21-22,1,1.88,3,-1.12,-0.18,17,88.96,82.35,-6.61,57.12,23,91.84,86.96,-4.89,-0.95
Hugo Alnefelt,T.B,21-22,1,0.79,3,-2.21,-0.4,10,92.08,70.0,-22.08,20.0,10,92.08,70.0,-22.08,-2.13
Juuse Saros,NSH,22-23,64,218.25,171,47.25,12.78,2099,89.6,91.85,2.25,3767.32,2930,92.55,94.16,1.61,67.55
Connor Hellebuyck,WPG,22-23,64,193.79,156,37.79,10.56,1963,90.13,92.05,1.93,3743.53,2679,92.77,94.18,1.41,55.82
Ilya Sorokin,NYI,22-23,62,182.55,140,42.55,11.26,1838,90.07,92.38,2.31,3554.4,2607,93.0,94.63,1.63,59.53
Jake Oettinger,DAL,22-23,62,172.0,144,28.0,8.33,1777,90.32,91.9,1.58,3601.85,2525,93.19,94.3,1.11,44.0
Alexandar Georgiev,COL,22-23,62,182.34,155,27.34,8.38,1904,90.42,91.86,1.44,3660.13,2541,92.82,93.9,1.08,44.31
Jordan Binnington,STL,22-23,61,186.23,194,-7.77,1.81,1825,89.8,89.37,-0.43,3484.67,2579,92.78,92.48,-0.3,9.55
Andrei Vasilevskiy,T.B,22-23,60,184.82,159,25.82,8.14,1875,90.14,91.52,1.38,3571.53,2539,92.72,93.74,1.02,43.01
Jacob Markstrom,CGY,22-23,59,164.1,166,-1.9,2.53,1542,89.36,89.23,-0.12,3386.55,2161,92.41,92.32,-0.09,13.36
Igor Shesterkin,NYR,22-23,58,175.63,144,31.63,9.08,1719,89.78,91.62,1.84,3455.53,2373,92.6,93.93,1.33,47.97
Darcy Kuemper,WSH,22-23,57,169.15,154,15.15,5.84,1674,89.9,90.8,0.9,3200.77,2392,92.93,93.56,0.63,30.88
Ville Husso,DET,22-23,56,154.2,166,-11.8,0.48,1601,90.37,89.63,-0.74,3180.33,2253,93.16,92.63,-0.52,2.54
Carter Hart,PHI,22-23,55,179.64,156,23.64,7.63,1667,89.22,90.64,1.42,3125.47,2340,92.32,93.33,1.01,40.35
John Gibson,ANA,22-23,53,193.0,200,-7.0,2.07,1981,90.26,89.9,-0.35,2983.22,2627,92.65,92.39,-0.27,10.96
Vitek Vanecek,N.J,22-23,52,134.35,118,16.35,5.46,1332,89.91,91.14,1.23,2892.4,1934,93.05,93.9,0.85,28.85
Karel Vejmelka,ARI,22-23,50,180.08,168,12.08,5.45,1671,89.22,89.95,0.72,2919.87,2361,92.37,92.88,0.51,28.83
Stuart Skinner,EDM,22-23,50,155.13,132,23.13,7.11,1536,89.9,91.41,1.51,2874.73,2084,92.56,93.67,1.11,37.56
Sergei Bobrovsky,FLA,22-23,50,150.12,145,5.12,3.61,1475,89.82,90.17,0.35,2802.58,2026,92.59,92.84,0.25,19.09
Linus Ullmark,BOS,22-23,49,138.92,91,47.92,11.51,1456,90.46,93.75,3.29,2836.63,2001,93.06,95.45,2.39,60.84
Martin Jones,SEA,22-23,48,123.86,131,-7.14,0.83,1146,89.19,88.57,-0.62,2595.18,1695,92.69,92.27,-0.42,4.38
Tristan Jarry,PIT,22-23,47,132.42,128,4.42,3.17,1413,90.63,90.94,0.31,2628.2,1910,93.07,93.3,0.23,16.74
Marc-Andre Fleury,MIN,22-23,46,135.33,125,10.33,4.34,1365,90.09,90.84,0.76,2629.52,1832,92.61,93.18,0.56,22.92
James Reimer,S.J,22-23,43,142.68,147,-4.32,1.69,1334,89.3,88.98,-0.32,2518.0,1895,92.47,92.24,-0.23,8.95
Jake Allen,MTL,22-23,42,145.04,145,0.04,2.56,1333,89.12,89.12,0.0,2436.1,1803,91.96,91.96,0.0,13.53
Ilya Samsonov,TOR,22-23,42,119.69,95,24.69,6.78,1183,89.88,91.97,2.09,2452.12,1675,92.85,94.33,1.47,35.82
Sam Montembeault,MTL,22-23,40,151.5,133,18.5,6.17,1345,88.74,90.11,1.38,2316.98,1881,91.95,92.93,0.98,32.59
Filip Gustavsson,MIN,22-23,39,114.7,81,33.7,8.39,1172,90.21,93.09,2.88,2288.13,1648,93.04,95.08,2.04,44.37
Petr Mrazek,CHI,22-23,39,128.19,132,-3.81,1.54,1248,89.73,89.42,-0.3,2148.85,1691,92.42,92.19,-0.23,8.12
Philipp Grubauer,SEA,22-23,39,105.48,96,9.48,3.65,928,88.63,89.66,1.02,2040.67,1332,92.08,92.79,0.71,19.29
Casey Desmith,PIT,22-23,38,118.19,108,10.19,4.01,1141,89.64,90.53,0.89,2050.03,1539,92.32,92.98,0.66,21.18
Jeremy Swayman,BOS,22-23,37,102.26,76,26.26,6.77,953,89.27,92.03,2.76,1972.43,1366,92.51,94.44,1.92,35.77
Logan Thompson,VGK,22-23,37,101.01,96,5.01,2.73,1132,91.08,91.52,0.44,2150.45,1530,93.4,93.73,0.33,14.4
Kaapo Kahkonen,S.J,22-23,37,116.77,135,-18.23,-1.39,1148,89.83,88.24,-1.59,2094.87,1598,92.69,91.55,-1.14,-7.37
Pheonix Copley,L.A,22-23,37,96.84,92,4.84,2.62,947,89.77,90.29,0.51,2063.45,1385,93.01,93.36,0.35,13.85
Cam Talbot,OTT,22-23,36,97.1,95,2.1,2.11,935,89.61,89.84,0.22,1938.52,1282,92.43,92.59,0.16,11.13
Jack Campbell,EDM,22-23,36,96.9,115,-18.1,-1.72,1027,90.56,88.8,-1.76,2004.17,1374,92.95,91.63,-1.32,-9.09
Frederik Andersen,CAR,22-23,34,81.84,82,-0.16,1.41,849,90.36,90.34,-0.02,1963.42,1150,92.88,92.87,-0.01,7.45
Ukko-Pekka Luukkonen,BUF,22-23,33,111.17,115,-3.83,1.23,1053,89.44,89.08,-0.36,1890.5,1421,92.18,91.91,-0.27,6.51
Thatcher Demko,VAN,22-23,32,96.17,99,-2.83,1.16,1004,90.42,90.14,-0.28,1866.8,1388,93.07,92.87,-0.2,6.12
Jonathan Quick,L.A,22-23,31,78.88,99,-20.12,-2.42,798,90.12,87.59,-2.52,1682.92,1119,92.95,91.15,-1.8,-12.78
Jonathan Quick,VGK,22-23,10,29.77,27,2.77,1.05,281,89.41,90.39,0.99,523.07,403,92.61,93.3,0.69,5.54
Charlie Lindgren,WSH,22-23,31,85.04,86,-0.96,1.32,853,90.03,89.92,-0.11,1680.73,1179,92.79,92.71,-0.08,6.95
Elvis Merzlikins,CBJ,22-23,30,85.52,110,-24.48,-3.13,888,90.37,87.61,-2.76,1546.67,1251,93.16,91.21,-1.96,-16.52
Spencer Martin,VAN,22-23,29,85.41,107,-21.59,-2.58,830,89.71,87.11,-2.6,1599.4,1150,92.57,90.7,-1.88,-13.65
Joonas Korpisalo,CBJ,22-23,28,93.57,82,11.57,3.84,927,89.91,91.15,1.25,1531.95,1270,92.63,93.54,0.91,20.28
Joonas Korpisalo,L.A,22-23,11,27.68,22,5.68,1.56,280,90.12,92.14,2.03,614.52,391,92.92,94.37,1.45,8.25
Anton Forsberg,OTT,22-23,28,86.58,79,7.58,2.96,818,89.42,90.34,0.93,1459.83,1133,92.36,93.03,0.67,15.63
Adin Hill,VGK,22-23,27,72.23,62,10.23,3.21,730,90.11,91.51,1.4,1470.57,1055,93.15,94.12,0.97,16.95
Dan Vladar,CGY,22-23,27,67.49,72,-4.51,0.33,669,89.91,89.24,-0.67,1468.78,953,92.92,92.44,-0.47,1.77
Connor Ingram,ARI,22-23,27,100.27,88,12.27,4.09,958,89.53,90.81,1.28,1580.13,1285,92.2,93.15,0.95,21.6
Alex Stalock,CHI,22-23,27,71.96,74,-2.04,0.88,802,91.03,90.77,-0.25,1465.33,1100,93.46,93.27,-0.19,4.66
Antti Raanta,CAR,22-23,27,64.11,58,6.11,2.28,644,90.04,90.99,0.95,1538.37,893,92.82,93.51,0.68,12.07
Craig Anderson,BUF,22-23,26,84.12,76,8.12,3.02,823,89.78,90.77,0.99,1479.77,1098,92.34,93.08,0.74,15.94
Matt Murray,TOR,22-23,26,79.42,74,5.42,2.42,761,89.56,90.28,0.71,1453.32,1043,92.39,92.91,0.52,12.8
Matt Murray,DAL,22-23,3,7.69,10,-2.31,-0.3,64,87.99,84.38,-3.62,174.38,94,91.82,89.36,-2.46,-1.6
Jaroslav Halak,NYR,22-23,25,72.01,66,6.01,2.4,680,89.41,90.29,0.88,1439.62,963,92.52,93.15,0.62,12.71
Pyotr Kochetkov,CAR,22-23,24,66.42,57,9.42,2.95,627,89.41,90.91,1.5,1386.63,859,92.27,93.36,1.1,15.59
Semyon Varlamov,NYI,22-23,23,67.66,60,7.66,2.64,688,90.17,91.28,1.11,1314.1,984,93.12,93.9,0.78,13.95
Brian Elliott,T.B,22-23,22,71.19,75,-3.81,0.53,689,89.67,89.11,-0.55,1310.28,947,92.48,92.08,-0.4,2.82
Mackenzie Blackwood,N.J,22-23,22,61.02,60,1.02,1.27,562,89.14,89.32,0.18,1109.57,803,92.4,92.53,0.13,6.69
Scott Wedgewood,DAL,22-23,21,56.94,51,5.94,2.13,603,90.56,91.54,0.98,1122.62,816,93.02,93.75,0.73,11.24
Thomas Greiss,STL,22-23,21,60.94,66,-5.06,0.11,626,90.27,89.46,-0.81,1080.07,872,93.01,92.43,-0.58,0.61
Spencer Knight,FLA,22-23,21,57.68,61,-3.32,0.39,626,90.79,90.26,-0.53,1153.63,832,93.07,92.67,-0.4,2.05
David Rittich,WPG,22-23,21,49.99,50,-0.01,0.88,505,90.1,90.1,-0.0,1111.82,734,93.19,93.19,-0.0,4.64
Collin Delia,VAN,22-23,20,58.26,61,-2.74,0.51,525,88.9,88.38,-0.52,1120.95,749,92.22,91.86,-0.37,2.68
Felix Sandstrom,PHI,22-23,20,61.71,69,-7.29,-0.29,575,89.27,88.0,-1.27,1107.52,821,92.48,91.6,-0.89,-1.55
Eric Comrie,BUF,22-23,19,63.07,68,-4.93,0.18,594,89.38,88.55,-0.83,1098.17,798,92.1,91.48,-0.62,0.93
Anthony Stolarz,ANA,22-23,19,53.21,51,2.21,1.36,494,89.23,89.68,0.45,818.1,685,92.23,92.55,0.32,7.16
Lukas Dostal,ANA,22-23,19,67.02,67,0.02,1.18,679,90.13,90.13,0.0,1054.85,978,93.15,93.15,0.0,6.26
Mads Sogaard,OTT,22-23,19,55.43,58,-2.57,0.49,521,89.36,88.87,-0.49,1037.55,718,92.28,91.92,-0.36,2.58
Kevin Lankinen,NSH,22-23,19,58.05,49,9.05,2.73,583,90.04,91.6,1.55,1057.0,827,92.98,94.07,1.09,14.45
Akira Schmid,N.J,22-23,18,42.3,32,10.3,2.69,407,89.61,92.14,2.53,888.45,578,92.68,94.46,1.78,14.23
