Goalie,Team,Season,GP,xGA,GA,GSAx,WAR,SA,xSV%,SV%,dSV%,TOI,FA,xFSV%,FSV%,dFSV%,GAR
Chris Osgood,DET,07-08,42,83.04,78,11.04,3.69,939,91.16,91.69,0.54,2288.87,1285,93.54,93.93,0.39,18.66
Chris Osgood,DET,08-09,46,106.19,136,-25.81,-3.0,1207,91.2,88.73,-2.47,2645.13,1622,93.45,91.62,-1.84,-16.06
Chris Osgood,DET,09-10,23,52.33,63,-10.67,-1.12,561,90.67,88.77,-1.9,1244.97,784,93.33,91.96,-1.36,-5.82
Chris Osgood,DET,10-11,11,24.04,29,-4.96,-0.55,298,91.93,90.27,-1.67,625.63,399,93.98,92.73,-1.24,-2.81
Collin Delia,CHI,17-18,2,4.23,7,-2.77,-0.44,63,93.29,88.89,-4.4,105.92,74,94.28,90.54,-3.74,-2.36
Collin Delia,CHI,18-19,16,44.15,50,-1.85,0.41,545,91.9,90.83,-1.07,822.58,698,93.67,92.84,-0.84,2.24
Collin Delia,CHI,20-21,6,21.1,20,1.1,0.59,204,89.66,90.2,0.54,332.15,271,92.21,92.62,0.41,3.13
Connor Hellebuyck,WPG,15-16,26,59.77,56,6.77,2.51,683,91.25,91.8,0.55,1417.23,944,93.67,94.07,0.4,12.2
Connor Hellebuyck,WPG,16-17,55,131.92,144,-8.08,0.81,1567,91.58,90.81,-0.77,2983.83,2129,93.8,93.24,-0.57,4.11
Connor Hellebuyck,WPG,17-18,67,176.6,156,23.6,7.38,2046,91.37,92.38,1.01,3925.75,2854,93.81,94.53,0.72,39.67
Connor Hellebuyck,WPG,18-19,63,176.63,179,0.63,3.14,2050,91.38,91.27,-0.12,3670.63,2768,93.62,93.53,-0.09,17.1
Connor Hellebuyck,WPG,19-20,58,159.18,140,23.18,7.05,1796,91.14,92.2,1.07,3236.87,2476,93.57,94.35,0.77,38.24
Connor Hellebuyck,WPG,20-21,45,128.48,112,23.48,6.75,1333,90.36,91.6,1.24,2576.48,1847,93.04,93.94,0.89,35.67
Connor Knapp,BUF,13-14,2,2.96,4,-1.04,-0.16,32,90.74,87.5,-3.24,76.52,49,93.95,91.84,-2.11,-0.79
Corey Crawford,CHI,07-08,5,8.98,8,1.98,0.55,112,91.98,92.86,0.88,221.43,137,93.44,94.16,0.72,2.77
Corey Crawford,CHI,09-10,1,2.7,3,-0.3,-0.01,35,92.29,91.43,-0.86,59.22,44,93.87,93.18,-0.69,-0.05
Corey Crawford,CHI,10-11,57,130.55,128,6.55,3.68,1543,91.54,91.7,0.17,3313.8,2106,93.8,93.92,0.12,18.83
Corey Crawford,CHI,11-12,57,123.29,146,-20.71,-1.83,1505,91.81,90.3,-1.51,3200.3,2009,93.86,92.73,-1.13,-9.11
Corey Crawford,CHI,12-13,30,62.08,57,6.08,2.4,768,91.92,92.58,0.66,1730.45,1026,93.95,94.44,0.5,11.93
