ID,date,utc_start_time,state,home_team,away_team,home_win_probability,projected_home_goals,projected_away_goals,home_playoffs_if_win,home_cup_if_win,home_points_if_win,home_playoffs_if_lose_overtime,home_cup_if_lose_overtime,home_points_if_lose_overtime,home_playoffs_if_lose_regulation,home_cup_if_lose_regulation,home_points_if_lose_regulation,away_playoffs_if_win,away_cup_if_win,away_points_if_win,away_playoffs_if_lose_overtime,away_cup_if_lose_overtime,away_points_if_lose_overtime,away_playoffs_if_lose_regulation,away_cup_if_lose_regulation,away_points_if_lose_regulation,home_record,away_record
2025020055,2025-10-14,2025-10-15 02:00:00,Final,S.J,CAR,0.0,1.0,5.0,,,,,,,,,,,,,,,,,,,1 - 4 - 2,6 - 1 - 0
2025020056,2025-10-14,2025-10-15 02:30:00,Final,ANA,PIT,1.0,4.0,3.0,,,,,,,,,,,,,,,,,,,4 - 2 - 1,6 - 2 - 0
2025020057,2025-10-15,2025-10-15 23:00:00,Final,BUF,OTT,1.0,8.0,4.0,,,,,,,,,,,,,,,,,,,3 - 4 - 0,3 - 4 - 1
2025020058,2025-10-15,2025-10-15 23:00:00,Final,DET,FLA,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,5 - 3 - 0,4 - 5 - 0
2025020059,2025-10-15,2025-10-16 01:30:00,Final,STL,CHI,0.0,3.0,8.0,,,,,,,,,,,,,,,,,,,3 - 3 - 1,4 - 2 - 2
2025020060,2025-10-15,2025-10-16 01:30:00,Final,UTA,CGY,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,6 - 2 - 0,1 - 6 - 1
2025020061,2025-10-16,2025-10-16 23:00:00,Final,TOR,NYR,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,3 - 3 - 1,3 - 4 - 2
2025020062,2025-10-16,2025-10-16 23:00:00,Final,MTL,NSH,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,6 - 3 - 0,3 - 3 - 2
2025020063,2025-10-16,2025-10-16 23:00:00,Final,OTT,SEA,1.0,4.0,3.0,,,,,,,,,,,,,,,,,,,3 - 4 - 1,4 - 2 - 2
2025020064,2025-10-16,2025-10-16 23:00:00,Final,N.J,FLA,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,6 - 1 - 0,4 - 5 - 0
2025020065,2025-10-16,2025-10-16 23:30:00,Final,NYI,EDM,1.0,4.0,2.0,,,,,,,,,,,,,,,,,,,4 - 3 - 0,4 - 3 - 1
2025020066,2025-10-16,2025-10-16 23:00:00,Final,PHI,WPG,0.0,2.0,5.0,,,,,,,,,,,,,,,,,,,3 - 3 - 1,5 - 2 - 0
2025020067,2025-10-16,2025-10-16 23:00:00,Final,CBJ,COL,0.0,1.0,4.0,,,,,,,,,,,,,,,,,,,3 - 3 - 0,5 - 0 - 3
2025020068,2025-10-16,2025-10-17 00:00:00,Final,DAL,VAN,0.0,3.0,5.0,,,,,,,,,,,,,,,,,,,3 - 3 - 1,4 - 4 - 0
2025020069,2025-10-16,2025-10-17 02:00:00,Final,VGK,BOS,1.0,6.0,5.0,,,,,,,,,,,,,,,,,,,5 - 0 - 2,3 - 6 - 0
2025020070,2025-10-16,2025-10-17 02:00:00,Final,ANA,CAR,0.0,1.0,4.0,,,,,,,,,,,,,,,,,,,4 - 2 - 1,6 - 1 - 0
2025020071,2025-10-16,2025-10-17 02:00:00,Final,L.A,PIT,0.0,2.0,4.0,,,,,,,,,,,,,,,,,,,3 - 3 - 2,6 - 2 - 0
2025020072,2025-10-17,2025-10-17 23:00:00,Final,DET,T.B,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,5 - 3 - 0,1 - 4 - 2
2025020073,2025-10-17,2025-10-17 23:00:00,Final,WSH,MIN,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,5 - 2 - 0,3 - 4 - 1
2025020074,2025-10-17,2025-10-18 00:30:00,Final,CHI,VAN,0.0,2.0,3.0,,,,,,,,,,,,,,,,,,,4 - 2 - 2,4 - 4 - 0
2025020075,2025-10-17,2025-10-18 01:00:00,Final,UTA,S.J,1.0,6.0,3.0,,,,,,,,,,,,,,,,,,,6 - 2 - 0,1 - 4 - 2
2025020076,2025-10-18,2025-10-18 17:00:00,Final,BUF,FLA,1.0,3.0,0.0,,,,,,,,,,,,,,,,,,,3 - 4 - 0,4 - 5 - 0
2025020077,2025-10-18,2025-10-18 19:00:00,Final,OTT,NYI,0.0,4.0,5.0,,,,,,,,,,,,,,,,,,,3 - 4 - 1,4 - 3 - 0
2025020078,2025-10-18,2025-10-18 19:30:00,Final,N.J,EDM,1.0,5.0,3.0,,,,,,,,,,,,,,,,,,,6 - 1 - 0,4 - 3 - 1
2025020079,2025-10-18,2025-10-18 23:00:00,Final,TOR,SEA,0.0,3.0,4.0,,,,,,,,,,,,,,,,,,,3 - 3 - 1,4 - 2 - 2
2025020080,2025-10-18,2025-10-18 23:00:00,Final,MTL,NYR,0.0,3.0,4.0,,,,,,,,,,,,,,,,,,,6 - 3 - 0,3 - 4 - 2
2025020081,2025-10-18,2025-10-18 23:00:00,Final,PHI,MIN,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,3 - 3 - 1,3 - 4 - 1
2025020082,2025-10-18,2025-10-18 23:00:00,Final,CBJ,T.B,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,3 - 3 - 0,1 - 4 - 2
2025020083,2025-10-18,2025-10-18 23:00:00,Final,STL,DAL,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,3 - 3 - 1,3 - 3 - 1
2025020084,2025-10-18,2025-10-18 23:00:00,Final,WPG,NSH,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,5 - 2 - 0,3 - 3 - 2
2025020085,2025-10-18,2025-10-19 01:00:00,Final,COL,BOS,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,5 - 0 - 3,3 - 6 - 0
2025020086,2025-10-18,2025-10-19 01:00:00,Final,L.A,CAR,0.0,3.0,4.0,,,,,,,,,,,,,,,,,,,3 - 3 - 2,6 - 1 - 0
2025020087,2025-10-18,2025-10-19 02:00:00,Final,VGK,CGY,1.0,6.0,1.0,,,,,,,,,,,,,,,,,,,5 - 0 - 2,1 - 6 - 1
2025020088,2025-10-18,2025-10-19 02:00:00,Final,S.J,PIT,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,1 - 4 - 2,6 - 2 - 0
2025020089,2025-10-19,2025-10-19 16:30:00,Final,WSH,VAN,0.0,3.0,4.0,,,,,,,,,,,,,,,,,,,5 - 2 - 0,4 - 4 - 0
2025020090,2025-10-19,2025-10-19 19:00:00,Final,DET,EDM,1.0,4.0,2.0,,,,,,,,,,,,,,,,,,,5 - 3 - 0,4 - 3 - 1
2025020091,2025-10-19,2025-10-19 23:00:00,Final,CHI,ANA,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,4 - 2 - 2,4 - 2 - 1
2025020092,2025-10-19,2025-10-19 23:00:00,Final,UTA,BOS,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,6 - 2 - 0,3 - 6 - 0
2025020093,2025-10-20,2025-10-20 23:00:00,Final,NYR,MIN,0.0,1.0,3.0,,,,,,,,,,,,,,,,,,,3 - 4 - 2,3 - 4 - 1
2025020094,2025-10-20,2025-10-20 23:00:00,Final,PHI,SEA,1.0,5.0,2.0,,,,,,,,,,,,,,,,,,,3 - 3 - 1,4 - 2 - 2
2025020095,2025-10-20,2025-10-20 23:30:00,Final,MTL,BUF,1.0,4.0,2.0,,,,,,,,,,,,,,,,,,,6 - 3 - 0,3 - 4 - 0
2025020096,2025-10-20,2025-10-21 01:30:00,Final,CGY,WPG,0.0,1.0,2.0,,,,,,,,,,,,,,,,,,,1 - 6 - 1,5 - 2 - 0
2025020097,2025-10-20,2025-10-21 02:00:00,Final,VGK,CAR,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,5 - 0 - 2,6 - 1 - 0
2025020098,2025-10-21,2025-10-21 23:00:00,Final,TOR,N.J,0.0,2.0,5.0,,,,,,,,,,,,,,,,,,,3 - 3 - 1,6 - 1 - 0
2025020099,2025-10-21,2025-10-21 23:00:00,Final,OTT,EDM,0.0,2.0,3.0,,,,,,,,,,,,,,,,,,,3 - 4 - 1,4 - 3 - 1
2025020100,2025-10-21,2025-10-21 23:00:00,Final,NYI,S.J,1.0,4.0,3.0,,,,,,,,,,,,,,,,,,,4 - 3 - 0,1 - 4 - 2
2025020101,2025-10-21,2025-10-21 23:00:00,Final,PIT,VAN,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,6 - 2 - 0,4 - 4 - 0
2025020102,2025-10-21,2025-10-21 23:00:00,Final,WSH,SEA,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,5 - 2 - 0,4 - 2 - 2
2025020103,2025-10-21,2025-10-21 23:30:00,Final,BOS,FLA,0.0,3.0,4.0,,,,,,,,,,,,,,,,,,,3 - 6 - 0,4 - 5 - 0
2025020104,2025-10-21,2025-10-22 00:00:00,Final,STL,L.A,0.0,1.0,2.0,,,,,,,,,,,,,,,,,,,3 - 3 - 1,3 - 3 - 2
2025020105,2025-10-21,2025-10-22 00:00:00,Final,NSH,ANA,0.0,2.0,5.0,,,,,,,,,,,,,,,,,,,3 - 3 - 2,4 - 2 - 1
2025020106,2025-10-21,2025-10-22 00:00:00,Final,DAL,CBJ,0.0,1.0,5.0,,,,,,,,,,,,,,,,,,,3 - 3 - 1,3 - 3 - 0
